schedule_title,course_number,title,units,section,day,begin,end,room,location,instructor
Fall 2023,48630,M.Arch Studio: Praxis 1,18.0,A,MWF,02:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania","Kline, Anklesaria"
Fall 2023,48634,Architectural Theory & Contemporary Issues,VAR,A,MW,09:30AM,10:50AM,CFA 214,"Pittsburgh, Pennsylvania",Gutschow
Fall 2023,48635,Environment I: Climate & Energy,9.0,Lec,TR,03:30PM,04:50PM,MM 103,"Pittsburgh, Pennsylvania","Li, Loftness"
Fall 2023,,,,A,T,11:00AM,12:20PM,MM 107,"Pittsburgh, Pennsylvania","Loftness, Li"
Fall 2023,,,,B,T,07:00PM,08:20PM,MM 103,"Pittsburgh, Pennsylvania","Loftness, Li"
Fall 2023,48650,ASO Masters Studio,18.0,A,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Arscott
Fall 2023,,,,B,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Byrne
Fall 2023,,,,C,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Chen
Fall 2023,,,,D,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Ficca
Fall 2023,,,,E,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Yang
Fall 2023,,,,F,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,,,,G,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,,,,H,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA
Fall 2023,48655,Environment II: Design Integration of Active Building Systems,9.0,A,TR,09:30AM,10:50AM,MM 103,"Pittsburgh, Pennsylvania",Baird
Fall 2023,48675,Designing for the Internet of Things,6.0,A2,TR,10:00AM,11:50AM,HL A10,"Pittsburgh, Pennsylvania",Byrne
Fall 2023,48676,"Connected Communities: Technology, Publics, Politics, and Participation",6.0,A1,TR,10:00AM,11:50AM,MM 409,"Pittsburgh, Pennsylvania",Byrne
Fall 2023,48689,Digital Skills Workshop,3.0,A1,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania","Huber, Goral"
Fall 2023,,"Environmental Racism, Injustice and Unfreedom",,A,F,02:00PM,03:50PM,MM 409,"Pittsburgh, Pennsylvania","Rehman, Newman- Perry"
Fall 2023,48700,Practicum,0-36,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania","Cardoso Llach, Cupkova, Gutschow, Krishnamurti, Gruber, Sawyer"
Fall 2023,48702,Master's Project,18-36,A,TBA,,,TBA,"Pittsburgh, Pennsylvania","Cochran, Loftness, Karaguzel, Cardoso Llach"
Fall 2023,48705,Urban Design Studio I,18.0,A,MWF,02:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Mondor
Fall 2023,48707,MUD Graduate Seminar,3.0,A,W,09:30AM,10:50AM,MM 307,"Pittsburgh, Pennsylvania",Ostergaard
