schedule_title,course_number,title,units,section,day,begin,end,room,location,instructor
Spring 2024,,,,I,TBA,,,TBA,"Pittsburgh, Pennsylvania",Huber
Spring 2024,,,,J,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Spring 2024,,,,K,TBA,,,TBA,"Pittsburgh, Pennsylvania",Kurland
Spring 2024,,,,L,TBA,,,TBA,"Pittsburgh, Pennsylvania",Byrne
Spring 2024,,,,M,TBA,,,TBA,"Pittsburgh, Pennsylvania",Ficca
Spring 2024,,,,N,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Spring 2024,,,,O,TBA,,,TBA,"Pittsburgh, Pennsylvania",Bard
Spring 2024,,,,R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Pangaro
Spring 2024,,,,S,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Spring 2024,,,,V,TBA,,,TBA,"Pittsburgh, Pennsylvania",Loftness
Spring 2024,,,,X,TBA,,,TBA,"Pittsburgh, Pennsylvania",Kim
Spring 2024,48737,Detailing Architecture,9.0,A,F,09:30AM,12:20PM,MM 307,"Pittsburgh, Pennsylvania",Damiani
Spring 2024,48745,Design Fabrication,9.0,A,MW,09:30AM,10:50AM,MM C4,"Pittsburgh, Pennsylvania",Patel
Spring 2024,48752,Zero Energy Housing,9.0,A,MW,03:30PM,04:50PM,MM 415IW,"Pittsburgh, Pennsylvania",Baird
Spring 2024,48756,Project Planning and Reporting,VAR,A,F,02:00PM,04:50PM,PH 226A,"Pittsburgh, Pennsylvania",Hameen
Spring 2024,48759,Value Based Design Introduction,VAR,A,MW,02:00PM,03:20PM,MM 409,"Pittsburgh, Pennsylvania",Bates
Spring 2024,48769,Thesis/Project,VAR,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Sawyer
Spring 2024,,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Byrne
Spring 2024,,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cardoso Llach
Spring 2024,,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cupkova
Spring 2024,,,,E,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cochran
Spring 2024,,,,F,TBA,,,TBA,"Pittsburgh, Pennsylvania",Bard
Spring 2024,,,,G,TBA,,,TBA,"Pittsburgh, Pennsylvania",Gruber
Spring 2024,,,,M,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Noel
Spring 2024,,,,V,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Loftness
Spring 2024,48773,Urban Design Media: Emerging Media,9.0,A,T,11:00AM,12:20PM,PH A19C,"Pittsburgh, Pennsylvania",Li
Spring 2024,48776,MAAD Advanced Synthesis Options Studio II,18.0,Lec,TR,01:00PM,04:20PM,MM 312,"Pittsburgh, Pennsylvania",Ficca
Spring 2024,,,,A,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Bista
Spring 2024,,,,B,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Bizon
Spring 2024,,,,C,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Cupkova
Spring 2024,,,,D,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Damiani
Spring 2024,,,,E,TR,01:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Garofalo
Spring 2024,,,,F,TR,01:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Hayes
Spring 2024,,,,G,TR,01:00PM,04:50PM,CFA 200,"Pittsburgh, Pennsylvania",Lee
Spring 2024,48781,Spatial Analysis in Infrastructure Planning,VAR,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Kurland
Spring 2024,48785,MAAD Research by Design Project,18.0,A,TR,01:00PM,04:50PM,MM 312,"Pittsburgh, Pennsylvania",Rafson
Spring 2024,48787,"LEED, Green Infrastructure and Community Rating in Global Context",6.0,A4,MW,11:00AM,12:20PM,CFA 102,"Pittsburgh, Pennsylvania",Baird
Spring 2024,48791,M.S. Project,0-99,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
