schedule_title,course_number,title,units,section,day,begin,end,room,location,instructor
Summer One 2024,49602,Designing for Production and Sustainability,10.0,A,M,08:00PM,09:30PM,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,49603,Cyber-Physical Product Design,10.0,A,T,08:00PM,09:30PM,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,49790,Software Management Independent Study,"3,6,12,24",A,TBA,,,DNM DNM,"San Jose, California",Mercier
Summer One 2024,49791,Software Management Capstone Project,"3,6,12,24",A,TBA,,,DNM DNM,"San Jose, California",Mercier
Summer One 2024,11633,MCDS Independent Study,3-36,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Rose
Summer One 2024,11637,Foundations of Computational Data Science,12.0,A,T,08:00AM,09:20AM,DNM DNM,"Pittsburgh, Pennsylvania","Rose, Han"
Summer One 2024,11910,Directed Research,1-48,PP,TBA,,,TBA,"Lisbon, Portugal","Callan, Frederking"
Summer One 2024,,,,R,TBA,,,TBA,"Pittsburgh, Pennsylvania","Callan, Frederking"
Summer One 2024,,,,S,TBA,,,TBA,"Pittsburgh, Pennsylvania","Frederking, Callan"
Summer One 2024,11920,Independent Study: Breadth,1-48,R,TBA,,,TBA,"Pittsburgh, Pennsylvania","Callan, Frederking"
Summer One 2024,11925,Independent Study: Area,1-48,R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,11927,MIIS Capstone Project,36.0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,11930,Dissertation Research,1-48,PP,TBA,,,TBA,"Lisbon, Portugal",Callan
Summer One 2024,,,,R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Callan
Summer One 2024,11935,LTI Practicum,1-36,P,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Callan
Summer One 2024,,,,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Frederking
Summer One 2024,11936,PhD Internship,VAR,P,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Callan
Summer One 2024,,,,S,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA
Summer One 2024,38110,ENGAGE in Service,1.0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hovis
Summer One 2024,38220,ENGAGE in the Arts,2.0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hovis
Summer One 2024,10500,Senior Research Project,"6,12",R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Gormley
Summer One 2024,10520,Independent Study,VAR,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Gormley
Summer One 2024,10601,Introduction to Machine Learning (Master's),12.0,A,MTWR,09:30AM,10:50AM,SH 105,"Pittsburgh, Pennsylvania",Chai
Summer One 2024,10620,Independent Study: Research,"6,12",A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Shah
Summer One 2024,10697,Reading and Research,1-48,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Shah
Summer One 2024,10920,Graduate Reading and Research,12-48,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Mitchell
Summer One 2024,10930,Dissertation Research,5-48,R,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Mitchell
Summer One 2024,27454,Supervised Reading,3-12,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Houser
Summer One 2024,27555,Materials Project I,"6,9",A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Houser
Summer One 2024,27556,Materials Project II,"6,9",A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Houser
Summer One 2024,27675,Masters Report,0.0,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Houser
Summer One 2024,27756,Masters Project,1-99,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Houser
Summer One 2024,27773,Graduate Reading and Research,"5,18,36",R,TBA,,,TBA,"Pittsburgh, Pennsylvania","Dickey, Smith"
Summer One 2024,27775,Thesis,1-99,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Dickey
Summer One 2024,27995,Internship,1-48,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Dickey
